Delivery,m.s,E.J
Throwing,21.7,62.39
Throwing,28,103.88
Throwing,28,103.88
Throwing,28,103.88
Throwing,28,103.88
Throwing,28.1,104.62
Throwing,28.2,105.37
Throwing,27.1,97.31
Throwing,28,103.88
Throwing,28,103.88
Throwing,27.9,103.14
Throwing,28,103.88
Thrusting,1.7,43.35
Thrusting,1.7,43.35
Thrusting,1.3,25.35
Thrusting,1.97,58.21
Thrusting,1.63,39.85
Thrusting,1.8,48.6
Thrusting,1.27,48.39
Thrusting,1.3,50.7
Thrusting,1.2,43.2
Thrusting,1.14,38.99
Thrusting,1.27,48.39
Thrusting,1.17,41.07
Thrusting,1.29,49.92
Throwing,16.5,36.07
Throwing,23.1,70.7
Throwing,23.3,71.93
Throwing,25.2,84.14
Thrusting,1.3,50.7
Thrusting,1.28,49.15
